t,hr,rr,hrv,temp,resp,spo2,bp,activity,arrhythmia,hypoxia,sleep,label,lead_off,anomaly,hr_normal,hrv_normal,spo2_normal,resp_normal,hr_residual_true
1.0,82.222,729.732,25.028,36.894,15.617,96.964,135.209,0.0,none,0.0,False,rest,False,0,82.222,25.028,96.964,15.617,0.0
2.0,82.307,728.977,25.016,36.891,16.121,96.942,135.32,0.0,none,0.0,False,rest,False,0,82.307,25.016,96.942,16.121,0.0
3.0,82.428,727.909,25.008,36.889,16.084,96.945,135.796,0.0,none,0.0,False,rest,False,0,82.428,25.008,96.945,16.084,0.0
4.0,82.505,727.229,24.995,36.886,16.163,96.926,136.757,0.0,none,0.0,False,rest,False,0,82.505,24.995,96.926,16.163,0.0
5.0,82.662,725.845,24.977,36.893,16.248,96.701,136.788,0.0,none,0.0,False,rest,False,0,82.662,24.977,96.701,16.248,0.0
6.0,82.818,724.477,24.954,36.882,16.349,96.708,136.551,0.0,none,0.0,False,rest,False,0,82.818,24.954,96.708,16.349,0.0
7.0,82.964,723.204,24.922,36.873,16.51,96.76,136.435,0.0,none,0.0,False,rest,False,0,82.964,24.922,96.76,16.51,0.0
8.0,83.105,721.976,24.922,36.878,16.127,96.633,136.769,0.0,none,0.0,False,rest,False,0,83.105,24.922,96.633,16.127,0.0
9.0,83.053,722.432,24.932,36.89,15.988,96.466,137.109,0.0,none,0.0,False,rest,False,0,83.053,24.932,96.466,15.988,0.0
10.0,83.125,721.804,24.954,36.879,15.809,96.588,137.268,0.0,none,0.0,False,rest,False,0,83.125,24.954,96.588,15.809,0.0
11.0,83.364,719.734,24.965,36.891,15.925,96.622,137.626,0.0,none,0.0,False,rest,False,0,83.364,24.965,96.622,15.925,0.0
12.0,83.704,716.811,24.991,36.887,15.708,96.647,137.306,0.0,none,0.0,False,rest,False,0,83.704,24.991,96.647,15.708,0.0
13.0,83.975,714.496,24.999,36.89,15.894,96.627,137.665,0.0,none,0.0,False,rest,False,0,83.975,24.999,96.627,15.894,0.0
