t,hr,rr,hrv,temp,resp,spo2,bp,activity,leads_ok,source
1.0,82.1,730.6,25.0,36.91,15.7,97.3,137.8,0.004,True,simulated
2.0,80.9,741.5,31.1,36.89,15.3,97.3,133.5,0.011,True,simulated
3.0,81.4,736.8,26.3,36.86,15.6,96.5,134.3,0.0,True,simulated
4.0,82.6,726.2,28.4,36.91,15.3,96.9,133.8,0.045,True,simulated
5.0,82.9,724.0,26.0,36.9,15.6,96.7,130.4,0.0,True,simulated
6.0,82.4,727.9,24.6,36.9,14.9,97.0,131.4,0.0,True,simulated
7.0,81.7,734.2,22.5,36.92,15.6,97.0,136.1,0.0,True,simulated
8.0,81.0,740.4,24.3,36.88,14.9,96.1,133.2,0.004,True,simulated
9.0,81.0,740.3,24.7,36.84,15.6,96.5,135.6,0.0,True,simulated
10.0,81.5,736.6,24.2,36.87,14.8,96.5,132.7,0.0,True,simulated
11.0,81.4,737.3,24.0,36.91,16.5,96.1,134.6,0.0,True,simulated
12.0,82.2,730.0,23.2,36.93,16.5,96.7,136.5,0.0,True,simulated
13.0,81.7,734.8,21.9,36.87,14.9,97.3,136.3,0.029,True,simulated
14.0,81.9,732.8,23.1,36.88,17.2,96.3,132.7,0.0,True,simulated
15.0,83.2,721.4,24.7,36.9,15.8,96.7,134.9,0.001,True,simulated
16.0,82.3,728.6,25.6,36.85,17.0,96.6,137.8,0.0,True,simulated
17.0,83.0,722.6,27.6,36.9,16.0,96.6,135.3,0.0,True,simulated
18.0,82.9,723.8,26.6,36.88,15.6,96.6,137.5,0.018,True,simulated
19.0,83.2,721.1,26.4,36.9,17.4,97.4,139.7,0.01,True,simulated
20.0,84.0,714.6,26.1,36.93,16.1,97.0,134.6,0.0,True,simulated
21.0,83.8,716.1,25.6,36.92,15.7,96.1,132.4,0.011,True,simulated
22.0,84.0,714.1,25.3,36.95,15.6,96.5,133.7,0.0,True,simulated
23.0,84.2,712.6,25.4,36.85,15.9,96.2,135.1,0.0,True,simulated
24.0,83.5,718.8,25.3,36.9,16.1,96.6,135.5,0.0,True,simulated
25.0,83.4,719.4,25.9,36.96,14.9,96.7,133.3,0.0,True,simulated
26.0,83.9,715.5,25.2,36.95,15.2,97.0,136.5,0.0,True,simulated
27.0,84.4,711.3,26.1,36.93,16.3,97.6,132.8,0.0,True,simulated
28.0,85.0,705.8,26.4,36.94,16.3,97.1,135.7,0.024,True,simulated
29.0,85.5,702.1,26.2,36.94,16.2,97.0,132.4,0.01,True,simulated
30.0,85.1,705.1,26.1,36.92,16.7,96.8,136.9,0.009,True,simulated
31.0,85.2,704.2,26.1,36.84,16.8,96.8,134.0,0.0,True,simulated
32.0,84.7,708.4,25.8,36.89,17.0,96.7,132.9,0.0,True,simulated
33.0,84.5,709.9,26.5,36.94,16.5,96.8,134.6,0.0,True,simulated
34.0,84.1,713.1,28.7,36.88,16.2,97.8,136.4,0.01,True,simulated
35.0,83.5,718.2,27.6,36.92,16.8,96.9,132.4,0.0,True,simulated
36.0,83.8,715.7,27.4,36.85,17.1,97.6,138.2,0.0,True,simulated
37.0,83.0,723.1,26.9,36.91,18.0,97.7,133.7,0.023,True,simulated
38.0,82.2,729.6,26.0,36.84,16.2,96.6,131.5,0.0,True,simulated
39.0,82.2,729.8,26.3,36.88,17.1,97.4,136.9,0.008,True,simulated
40.0,82.0,731.5,26.8,36.87,17.4,97.7,136.2,0.039,True,simulated
41.0,82.0,731.3,27.1,36.9,17.1,97.2,130.3,0.0,True,simulated
42.0,81.8,733.7,27.3,36.86,16.9,96.5,128.2,0.03,True,simulated
43.0,82.0,732.0,28.1,36.91,17.7,97.9,130.4,0.0,True,simulated
44.0,81.3,738.0,28.6,36.92,18.4,97.2,128.4,0.011,True,simulated
45.0,80.8,742.6,28.8,36.83,16.9,96.4,132.2,0.0,True,simulated
46.0,80.9,741.4,28.0,36.87,17.8,97.1,128.6,0.0,True,simulated
47.0,80.7,743.5,28.8,36.87,16.8,96.4,131.2,0.02,True,simulated
48.0,80.7,743.0,28.4,36.88,17.1,97.1,130.7,0.0,True,simulated
49.0,80.5,745.0,29.1,36.89,17.7,96.3,132.5,0.0,True,simulated
50.0,80.1,748.9,28.7,36.88,16.7,96.5,127.7,0.011,True,simulated
51.0,79.8,752.3,28.0,36.9,17.0,97.3,130.4,0.046,True,simulated
52.0,80.3,746.9,28.0,36.86,16.8,97.1,131.0,0.003,True,simulated
53.0,81.6,735.7,30.4,36.87,16.2,96.9,129.0,0.0,True,simulated
54.0,82.0,731.3,30.3,36.89,17.2,97.7,133.4,0.014,True,simulated
55.0,81.7,734.5,28.3,36.82,16.8,96.7,135.3,0.0,True,simulated
56.0,82.0,731.9,28.4,36.9,17.3,97.1,133.9,0.0,True,simulated
57.0,81.6,735.3,29.0,36.82,16.3,97.0,135.0,0.0,True,simulated
58.0,81.1,740.0,27.9,36.85,17.3,96.6,136.1,0.0,True,simulated
59.0,81.5,736.0,26.7,36.87,16.1,96.8,133.7,0.0,True,simulated
60.0,81.2,739.0,27.1,36.89,16.0,97.6,133.0,0.0,True,simulated
61.0,80.8,742.4,26.8,36.89,15.9,97.5,134.7,0.0,True,simulated
62.0,80.6,744.5,27.4,36.86,17.8,96.9,132.9,0.146,True,simulated
63.0,80.5,744.9,27.3,36.85,17.5,97.3,131.5,0.296,True,simulated
64.0,83.1,722.2,27.2,36.85,19.3,96.9,140.0,0.389,True,simulated
65.0,84.1,713.8,26.9,36.88,19.1,96.9,133.2,0.483,True,simulated
66.0,88.8,675.9,26.1,36.89,18.6,96.8,136.9,0.526,True,simulated
67.0,91.0,659.3,26.8,36.86,20.6,96.5,133.4,0.542,True,simulated
68.0,96.6,621.1,27.2,36.93,22.0,96.7,136.6,0.568,True,simulated
69.0,100.2,598.9,26.4,36.95,22.5,97.2,141.1,0.655,True,simulated
70.0,103.9,577.3,26.4,36.88,21.8,96.5,138.1,0.624,True,simulated
71.0,104.8,572.3,26.5,36.94,23.4,96.8,142.4,0.664,True,simulated
72.0,108.5,553.0,26.4,36.9,24.3,97.0,145.3,0.617,True,simulated
73.0,110.1,544.8,23.5,36.91,24.2,96.6,145.1,0.711,True,simulated
74.0,111.6,537.5,23.0,36.87,25.4,96.5,147.5,0.643,True,simulated
75.0,112.7,532.5,22.9,36.87,25.5,96.2,150.7,0.681,True,simulated
76.0,113.8,527.1,22.7,36.93,26.2,96.2,151.9,0.673,True,simulated
77.0,116.2,516.3,23.2,36.85,26.5,96.8,153.1,0.668,True,simulated
78.0,116.4,515.6,22.7,36.87,27.3,96.3,149.3,0.674,True,simulated
79.0,117.7,510.0,21.8,36.85,26.8,96.3,145.1,0.692,True,simulated
80.0,117.3,511.7,20.3,36.93,27.6,96.8,150.5,0.693,True,simulated
81.0,117.5,510.6,20.3,36.92,27.7,96.3,148.5,0.667,True,simulated
82.0,117.9,508.8,19.5,36.88,27.8,96.7,146.5,0.706,True,simulated
83.0,117.9,509.0,16.4,36.96,27.4,95.5,148.5,0.705,True,simulated
84.0,119.0,504.2,15.8,36.87,27.3,95.7,148.1,0.682,True,simulated
85.0,118.9,504.7,14.9,36.85,27.7,96.9,150.1,0.705,True,simulated
86.0,119.0,504.3,15.0,36.87,27.7,96.2,151.3,0.684,True,simulated
87.0,119.0,504.4,14.6,36.91,28.3,96.7,149.9,0.699,True,simulated
88.0,119.9,500.4,15.0,36.92,28.3,96.0,152.2,0.684,True,simulated
89.0,120.9,496.4,15.4,36.93,28.5,96.8,151.9,0.71,True,simulated
90.0,120.6,497.5,14.2,36.95,29.3,96.5,154.0,0.689,True,simulated
91.0,120.3,498.7,14.3,36.96,28.7,95.7,155.3,0.706,True,simulated
92.0,120.8,496.6,12.7,36.92,28.7,96.2,158.2,0.668,True,simulated
93.0,122.3,490.4,12.1,36.91,28.8,96.3,152.5,0.719,True,simulated
94.0,122.0,491.8,11.2,36.9,28.5,96.3,153.2,0.697,True,simulated
95.0,122.3,490.6,11.2,36.91,28.6,96.9,153.0,0.553,True,simulated
96.0,121.4,494.3,11.0,36.92,28.0,95.9,155.9,0.437,True,simulated
97.0,121.0,495.7,11.1,36.93,27.8,96.0,148.6,0.299,True,simulated
98.0,118.8,504.9,11.5,36.9,26.7,96.6,152.7,0.266,True,simulated
99.0,118.7,505.5,11.7,36.92,25.2,96.4,149.9,0.174,True,simulated
100.0,116.5,515.2,11.2,36.99,25.6,96.0,150.7,0.155,True,simulated
101.0,114.3,524.7,12.5,36.97,24.1,96.7,148.4,0.131,True,simulated
102.0,112.2,534.8,12.4,36.97,24.0,96.2,145.7,0.108,True,simulated
103.0,110.2,544.3,12.1,36.92,22.2,96.5,149.8,0.084,True,simulated
104.0,108.5,552.8,11.6,37.02,22.9,96.1,148.1,0.039,True,simulated
105.0,106.7,562.5,13.4,36.97,21.7,97.0,145.2,0.069,True,simulated
