t,hr,rr,hrv,temp,resp,spo2,bp,activity,arrhythmia,hypoxia,sleep,label,lead_off,anomaly,hr_normal,hrv_normal,spo2_normal,resp_normal,hr_residual_true
1.0,55.038,1090.164,69.975,36.487,12.123,99.072,110.165,0.0,none,0.0,False,rest,False,0,55.038,69.975,99.072,12.123,0.0
2.0,55.108,1088.779,69.944,36.492,12.165,99.012,110.178,0.0,none,0.0,False,rest,False,0,55.108,69.944,99.012,12.165,0.0
3.0,55.168,1087.58,69.926,36.49,12.119,99.013,109.786,0.0,none,0.0,False,rest,False,0,55.168,69.926,99.013,12.119,0.0
4.0,55.05,1089.909,69.969,36.486,11.833,99.03,109.7,0.0,none,0.0,False,rest,False,0,55.05,69.969,99.03,11.833,0.0
5.0,54.924,1092.414,69.943,36.492,12.143,98.988,110.026,0.0,none,0.0,False,rest,False,0,54.924,69.943,98.988,12.143,0.0
6.0,54.746,1095.964,69.942,36.483,12.038,98.98,109.99,0.0,none,0.0,False,rest,False,0,54.746,69.942,98.98,12.038,0.0
7.0,54.617,1098.561,69.914,36.475,12.171,99.039,110.15,0.0,none,0.0,False,rest,False,0,54.617,69.914,99.039,12.171,0.0
8.0,54.548,1099.947,69.89,36.472,12.165,99.043,109.525,0.0,none,0.0,False,rest,False,0,54.548,69.89,99.043,12.165,0.0
9.0,54.497,1100.982,69.884,36.48,12.092,98.91,109.646,0.0,none,0.0,False,rest,False,0,54.497,69.884,98.91,12.092,0.0
10.0,54.409,1102.765,69.856,36.489,12.203,98.884,109.776,0.0,none,0.0,False,rest,False,0,54.409,69.856,98.884,12.203,0.0
11.0,54.37,1103.547,69.826,36.477,12.229,98.957,108.962,0.0,none,0.0,False,rest,False,0,54.37,69.826,98.957,12.229,0.0
12.0,54.359,1103.77,69.785,36.479,12.296,98.95,109.409,0.0,none,0.0,False,rest,False,0,54.359,69.785,98.95,12.296,0.0
13.0,54.343,1104.106,69.75,36.483,12.296,98.899,108.701,0.0,none,0.0,False,rest,False,0,54.343,69.75,98.899,12.296,0.0
14.0,54.445,1102.022,69.708,36.468,12.348,99.041,108.274,0.0,none,0.0,False,rest,False,0,54.445,69.708,99.041,12.348,0.0
15.0,54.509,1100.738,69.645,36.468,12.47,98.983,108.306,0.0,none,0.0,False,rest,False,0,54.509,69.645,98.983,12.47,0.0
16.0,54.727,1096.35,69.639,36.474,12.234,99.187,107.087,0.0,none,0.0,False,rest,False,0,54.727,69.639,99.187,12.234,0.0
17.0,54.813,1094.636,69.65,36.48,12.154,99.151,106.937,0.0,none,0.0,False,rest,False,0,54.813,69.65,99.151,12.154,0.0
18.0,54.848,1093.937,69.689,36.468,12.009,99.061,106.966,0.0,none,0.0,False,rest,False,0,54.848,69.689,99.061,12.009,0.0
19.0,54.932,1092.259,69.737,36.473,11.945,99.083,106.877,0.0,none,0.0,False,rest,False,0,54.932,69.737,99.083,11.945,0.0
20.0,54.91,1092.702,69.807,36.489,11.811,98.988,106.707,0.0,none,0.0,False,rest,False,0,54.91,69.807,98.988,11.811,0.0
21.0,54.966,1091.588,69.875,36.491,11.779,99.044,106.42,0.0,none,0.0,False,rest,False,0,54.966,69.875,99.044,11.779,0.0
22.0,54.957,1091.769,69.938,36.493,11.764,99.041,106.414,0.0,none,0.0,False,rest,False,0,54.957,69.938,99.041,11.764,0.0
23.0,54.919,1092.527,70.029,36.506,11.592,99.079,106.763,0.0,none,0.0,False,rest,False,0,54.919,70.029,99.079,11.592,0.0
24.0,54.943,1092.048,70.144,36.507,11.428,98.954,106.4,0.0,none,0.0,False,rest,False,0,54.943,70.144,98.954,11.428,0.0
25.0,55.067,1089.585,70.326,36.49,11.03,99.043,106.451,0.0,none,0.0,False,rest,False,0,55.067,70.326,99.043,11.03,0.0
26.0,55.366,1083.694,70.422,36.494,11.35,98.989,105.948,0.0,none,0.0,False,rest,False,0,55.366,70.422,98.989,11.35,0.0
27.0,55.502,1081.035,70.513,36.488,11.316,98.97,106.232,0.0,none,0.0,False,rest,False,0,55.502,70.513,98.97,11.316,0.0
28.0,55.564,1079.836,70.597,36.488,11.296,98.947,106.097,0.0,none,0.0,False,rest,False,0,55.564,70.597,98.947,11.296,0.0
29.0,55.553,1080.056,70.686,36.494,11.229,98.856,105.497,0.0,none,0.0,False,rest,False,0,55.553,70.686,98.856,11.229,0.0
30.0,55.521,1080.67,70.823,36.496,10.939,98.746,105.745,0.0,none,0.0,False,rest,False,0,55.521,70.823,98.746,10.939,0.0
31.0,55.497,1081.138,70.946,36.48,10.93,98.895,105.882,0.0,none,0.0,False,rest,False,0,55.497,70.946,98.895,10.93,0.0
32.0,55.456,1081.932,71.042,36.48,10.997,98.916,105.746,0.0,none,0.0,False,rest,False,0,55.456,71.042,98.916,10.997,0.0
