t,hr,rr,hrv,temp,resp,spo2,bp,activity,leads_ok,source
1.0,55.6,1078.4,69.5,36.54,12.1,98.6,110.5,0.07,True,simulated
2.0,56.7,1058.9,68.6,36.52,12.1,99.1,109.6,0.131,True,simulated
3.0,55.1,1089.9,69.8,36.48,12.9,98.5,111.0,0.158,True,simulated
4.0,56.4,1063.6,60.5,36.46,13.4,98.3,111.3,0.19,True,simulated
5.0,56.9,1054.7,55.2,36.53,14.3,98.7,111.4,0.21,True,simulated
6.0,58.0,1034.1,49.6,36.52,14.3,98.7,114.3,0.22,True,simulated
7.0,59.9,1002.0,54.1,36.53,15.1,99.1,113.9,0.25,True,simulated
8.0,60.5,991.2,50.2,36.53,15.6,98.9,115.1,0.249,True,simulated
9.0,60.5,992.4,47.8,36.55,14.9,98.5,113.9,0.264,True,simulated
10.0,60.4,993.2,46.3,36.6,16.0,98.7,117.2,0.295,True,simulated
11.0,61.4,977.8,49.2,36.64,17.5,98.5,117.7,0.274,True,simulated
12.0,61.7,972.9,47.3,36.55,16.0,98.5,114.3,0.272,True,simulated
13.0,61.9,969.4,45.5,36.55,16.7,98.6,116.6,0.271,True,simulated
14.0,62.0,967.8,44.8,36.56,17.1,98.9,115.0,0.3,True,simulated
15.0,63.5,944.2,47.9,36.57,16.8,97.5,116.2,0.281,True,simulated
16.0,64.1,936.4,46.4,36.49,17.8,98.9,118.2,0.291,True,simulated
17.0,63.7,941.8,46.3,36.52,17.2,99.3,114.6,0.275,True,simulated
18.0,64.1,935.8,46.0,36.53,17.1,98.6,119.1,0.281,True,simulated
19.0,66.2,905.9,46.5,36.55,17.9,98.7,117.6,0.283,True,simulated
20.0,65.4,917.6,49.4,36.51,17.7,99.1,115.6,0.304,True,simulated
21.0,65.8,911.6,49.1,36.51,18.0,98.1,114.7,0.285,True,simulated
22.0,66.5,902.2,49.6,36.48,18.5,98.2,116.3,0.321,True,simulated
23.0,66.2,906.0,48.5,36.54,17.6,97.7,117.1,0.285,True,simulated
24.0,66.0,909.0,47.7,36.56,18.7,98.6,117.1,0.307,True,simulated
25.0,67.0,895.2,46.8,36.5,18.6,98.0,113.4,0.309,True,simulated
26.0,68.2,880.4,46.9,36.56,17.7,97.8,117.6,0.231,True,simulated
27.0,67.5,889.4,47.9,36.53,17.8,97.9,117.3,0.298,True,simulated
28.0,67.7,886.0,48.2,36.6,18.5,98.0,114.3,0.273,True,simulated
29.0,68.5,876.5,48.3,36.54,18.0,99.0,116.3,0.262,True,simulated
30.0,67.8,884.4,45.4,36.57,18.1,99.0,114.3,0.27,True,simulated
31.0,66.5,901.9,45.7,36.57,17.1,98.0,116.0,0.299,True,simulated
32.0,68.2,879.1,50.1,36.56,17.7,98.1,116.3,0.295,True,simulated
33.0,68.2,880.3,51.5,36.51,17.4,98.3,117.2,0.301,True,simulated
34.0,67.2,893.2,50.1,36.54,18.2,98.8,116.4,0.329,True,simulated
35.0,66.8,897.7,50.0,36.56,18.2,98.1,115.5,0.308,True,simulated
36.0,66.4,903.2,49.8,36.51,17.6,98.0,113.5,0.288,True,simulated
37.0,66.0,909.7,48.2,36.56,18.3,97.9,115.2,0.299,True,simulated
38.0,66.2,906.3,48.2,36.52,17.9,98.3,114.6,0.32,True,simulated
39.0,66.6,900.6,48.2,36.56,17.7,97.8,112.3,0.324,True,simulated
40.0,67.2,893.5,48.2,36.53,17.2,98.3,119.1,0.325,True,simulated
41.0,66.8,897.6,47.9,36.52,16.6,98.3,117.6,0.295,True,simulated
42.0,67.0,895.2,47.9,36.54,17.3,98.6,113.0,0.292,True,simulated
43.0,67.6,888.2,47.8,36.56,18.7,98.4,119.1,0.326,True,simulated
44.0,67.2,893.3,47.9,36.55,18.5,98.4,114.8,0.295,True,simulated
45.0,66.9,896.4,47.4,36.52,17.4,98.3,114.1,0.266,True,simulated
46.0,68.3,879.0,45.2,36.56,16.5,98.3,119.8,0.285,True,simulated
47.0,67.3,892.2,49.2,36.49,17.4,97.8,118.0,0.239,True,simulated
48.0,67.6,887.8,48.6,36.51,17.7,98.1,115.4,0.178,True,simulated
49.0,68.7,873.1,49.2,36.55,16.5,97.9,115.1,0.158,True,simulated
50.0,68.8,872.6,49.0,36.59,16.8,98.1,113.5,0.115,True,simulated
51.0,67.1,894.2,50.5,36.54,15.9,98.2,116.3,0.083,True,simulated
52.0,67.0,895.5,49.7,36.56,16.9,97.9,110.2,0.079,True,simulated
53.0,67.2,893.5,50.4,36.58,15.7,98.1,111.5,0.022,True,simulated
54.0,66.4,904.1,49.7,36.54,15.4,98.3,116.5,0.03,True,simulated
55.0,66.0,909.3,50.0,36.54,14.7,98.3,117.2,0.043,True,simulated
56.0,67.3,891.7,53.1,36.48,14.7,98.8,112.9,0.008,True,simulated
57.0,66.4,903.4,53.5,36.5,14.4,99.7,111.1,0.0,True,simulated
