t,hr,rr,hrv,temp,resp,spo2,bp,activity,leads_ok,source
1.0,70.0,856.9,50.0,36.68,13.9,97.9,120.1,0.006,True,simulated
2.0,70.1,856.3,50.0,36.7,14.5,97.6,120.6,0.005,True,simulated
3.0,69.1,868.2,53.7,36.67,13.7,98.4,119.2,0.0,True,simulated
4.0,69.5,863.1,46.9,36.62,13.6,98.1,122.4,0.0,True,simulated
5.0,70.6,849.3,44.0,36.68,14.3,98.1,122.5,0.036,True,simulated
6.0,70.1,856.0,40.5,36.6,14.2,97.7,121.0,0.02,True,simulated
7.0,69.9,858.6,38.4,36.6,13.8,97.9,125.7,0.028,True,simulated
8.0,69.9,858.9,37.5,36.62,13.6,97.8,121.3,0.0,True,simulated
9.0,69.6,861.9,34.8,36.6,14.7,98.0,120.1,0.009,True,simulated
10.0,69.8,859.6,33.2,36.63,14.2,97.3,124.3,0.016,True,simulated
11.0,69.9,858.7,32.0,36.63,14.3,97.8,123.0,0.0,True,simulated
12.0,70.1,856.2,32.6,36.61,14.2,97.9,121.0,0.005,True,simulated
13.0,69.8,859.3,34.7,36.53,14.8,97.6,121.5,0.016,True,simulated
14.0,69.2,867.1,34.7,36.54,15.0,98.3,119.4,0.0,True,simulated
15.0,68.7,872.8,33.7,36.59,14.9,97.5,122.4,0.005,True,simulated
16.0,69.9,858.1,43.9,36.56,14.0,98.4,123.5,0.0,True,simulated
17.0,70.7,849.1,42.8,36.57,14.3,97.8,123.6,0.007,True,simulated
18.0,71.1,843.7,43.3,36.56,13.5,97.7,118.7,0.0,True,simulated
19.0,71.5,839.5,42.3,36.59,13.6,97.8,122.0,0.0,True,simulated
20.0,71.2,842.2,45.2,36.59,14.0,98.4,124.2,0.0,True,simulated
21.0,71.6,838.2,44.3,36.6,13.2,97.8,119.9,0.032,True,simulated
22.0,71.1,843.5,45.6,36.57,13.6,97.9,124.4,0.014,True,simulated
23.0,71.1,844.3,44.9,36.6,14.7,98.1,121.0,0.026,True,simulated
24.0,70.6,849.4,45.8,36.52,13.8,98.3,123.0,0.004,True,simulated
25.0,69.7,860.5,45.4,36.56,14.2,97.3,122.2,0.026,True,simulated
26.0,69.1,868.9,45.0,36.57,15.2,97.9,119.7,0.0,True,simulated
27.0,70.3,853.1,41.9,36.6,14.8,98.3,125.4,0.005,True,simulated
28.0,70.9,846.7,43.5,36.53,14.7,98.7,122.7,0.019,True,simulated
29.0,71.3,841.4,44.0,36.54,14.5,98.8,121.5,0.0,True,simulated
30.0,71.8,835.9,44.0,36.58,13.9,98.3,122.5,0.002,True,simulated
31.0,70.8,848.0,45.6,36.57,14.6,98.7,121.1,0.0,True,simulated
32.0,69.7,861.1,45.5,36.56,14.6,98.3,120.2,0.0,True,simulated
33.0,68.9,870.3,48.2,36.51,14.5,97.9,123.0,0.0,True,simulated
34.0,68.6,874.0,48.7,36.57,14.2,98.2,122.1,0.0,True,simulated
35.0,69.3,866.0,48.8,36.55,14.9,98.6,123.8,0.012,True,simulated
36.0,70.2,854.2,48.8,36.52,14.5,97.9,123.8,0.0,True,simulated
37.0,71.1,843.4,51.1,36.54,14.8,98.4,121.1,0.0,True,simulated
38.0,70.7,848.3,52.0,36.6,14.1,98.6,122.1,0.0,True,simulated
39.0,70.0,857.0,52.4,36.56,15.8,98.7,121.6,0.0,True,simulated
40.0,70.7,849.1,51.0,36.54,15.0,98.5,120.4,0.0,True,simulated
41.0,69.9,857.9,50.4,36.54,15.2,97.9,117.1,0.042,True,simulated
42.0,69.5,863.0,51.3,36.55,14.7,97.7,123.9,0.0,True,simulated
43.0,68.8,872.3,51.7,36.5,15.0,98.6,122.9,0.0,True,simulated
44.0,68.9,870.4,51.8,36.53,14.7,97.3,119.9,0.011,True,simulated
45.0,68.5,875.6,51.4,36.57,14.8,98.3,122.4,0.02,True,simulated
46.0,68.5,876.1,51.3,36.53,15.2,98.2,122.9,0.0,True,simulated
47.0,68.6,874.2,50.6,36.53,14.6,98.1,123.2,0.02,True,simulated
48.0,69.2,866.8,51.1,36.55,14.2,98.3,122.4,0.0,True,simulated
49.0,69.0,869.3,50.0,36.52,15.3,97.9,121.2,0.0,True,simulated
50.0,69.1,868.3,49.9,36.48,15.5,98.2,126.9,0.0,True,simulated
51.0,68.4,876.7,52.3,36.53,14.4,98.7,125.2,0.017,True,simulated
52.0,68.6,874.2,56.4,36.51,15.8,97.9,122.4,0.0,True,simulated
53.0,69.0,870.1,55.1,36.52,15.1,99.0,123.0,0.014,True,simulated
54.0,68.3,877.9,55.0,36.5,14.1,98.2,122.3,0.0,True,simulated
55.0,68.0,882.8,56.5,36.49,14.6,98.7,122.8,0.0,True,simulated
56.0,68.8,872.5,55.6,36.49,14.6,97.4,121.3,0.0,True,simulated
57.0,68.5,875.3,56.3,36.5,14.0,98.8,124.7,0.008,True,simulated
58.0,67.6,887.3,53.8,36.44,15.0,98.3,118.5,0.0,True,simulated
59.0,67.3,892.2,53.5,36.5,14.2,98.0,123.0,0.0,True,simulated
60.0,67.2,892.2,53.6,36.49,13.9,98.2,122.2,0.0,True,simulated
61.0,67.0,895.0,53.8,36.54,15.3,98.0,126.4,0.105,True,simulated
62.0,68.0,882.4,51.8,36.49,14.9,97.9,121.4,0.226,True,simulated
63.0,68.4,877.1,50.9,36.49,15.4,98.0,123.5,0.292,True,simulated
64.0,69.6,861.7,50.5,36.54,15.1,97.5,124.1,0.322,True,simulated
65.0,71.5,839.1,51.3,36.52,16.0,98.2,128.2,0.3,True,simulated
66.0,74.9,801.4,48.1,36.52,17.7,97.2,123.4,0.37,True,simulated
67.0,76.6,783.6,48.0,36.57,17.4,97.4,127.6,0.401,True,simulated
68.0,79.1,758.9,48.0,36.55,17.5,97.6,126.9,0.433,True,simulated
69.0,83.2,721.0,47.4,36.52,19.3,97.4,126.4,0.457,True,simulated
70.0,83.7,716.9,47.5,36.55,19.8,97.2,131.2,0.47,True,simulated
71.0,86.3,695.0,45.9,36.54,18.8,96.9,124.6,0.446,True,simulated
72.0,86.7,692.0,46.0,36.52,19.9,97.5,133.5,0.482,True,simulated
73.0,88.0,681.9,45.9,36.51,20.0,97.2,128.8,0.505,True,simulated
74.0,88.5,677.8,42.9,36.52,20.0,96.9,126.6,0.508,True,simulated
75.0,90.9,659.9,38.0,36.54,20.6,96.8,128.2,0.519,True,simulated
76.0,91.0,659.5,38.8,36.56,20.2,97.3,128.6,0.517,True,simulated
77.0,92.9,645.9,35.9,36.58,21.2,97.2,131.3,0.466,True,simulated
78.0,93.9,638.9,36.0,36.54,20.4,97.3,129.7,0.49,True,simulated
79.0,93.7,640.6,36.1,36.6,22.1,97.5,129.7,0.516,True,simulated
80.0,95.2,630.2,37.1,36.59,20.5,96.8,128.8,0.521,True,simulated
81.0,94.3,636.0,37.0,36.56,22.0,97.1,136.0,0.512,True,simulated
82.0,94.5,634.9,35.9,36.57,20.6,97.8,134.1,0.49,True,simulated
83.0,95.1,630.7,35.1,36.56,21.8,97.1,133.2,0.533,True,simulated
84.0,95.0,631.3,33.7,36.64,21.7,97.0,132.9,0.472,True,simulated
85.0,95.7,626.9,33.0,36.57,21.4,97.2,135.9,0.476,True,simulated
86.0,97.2,617.3,33.3,36.6,21.1,97.9,136.0,0.526,True,simulated
87.0,96.6,621.2,30.3,36.6,21.9,97.0,137.0,0.49,True,simulated
88.0,96.0,624.9,29.7,36.59,21.0,97.4,138.2,0.503,True,simulated
89.0,96.8,619.8,31.0,36.61,22.0,97.0,132.5,0.492,True,simulated
90.0,96.9,619.1,30.6,36.64,21.7,97.7,133.9,0.488,True,simulated
91.0,97.2,617.1,30.5,36.66,21.0,98.3,134.5,0.499,True,simulated
92.0,97.8,613.3,31.9,36.69,20.9,97.6,135.6,0.48,True,simulated
93.0,98.2,611.1,31.2,36.65,22.4,97.4,136.5,0.552,True,simulated
94.0,99.6,602.2,30.6,36.68,22.0,97.0,134.9,0.489,True,simulated
95.0,98.9,606.9,30.4,36.65,21.7,97.3,138.2,0.522,True,simulated
96.0,98.8,607.1,29.5,36.7,21.8,97.1,136.4,0.494,True,simulated
97.0,99.1,605.6,28.3,36.71,20.9,97.1,136.5,0.523,True,simulated
98.0,98.2,611.1,27.7,36.72,21.9,96.8,133.7,0.498,True,simulated
99.0,97.2,617.4,27.5,36.71,21.8,97.3,139.2,0.486,True,simulated
100.0,97.6,614.6,28.4,36.64,22.2,97.0,135.7,0.543,True,simulated
101.0,97.1,617.7,29.4,36.68,21.4,97.5,134.8,0.495,True,simulated
102.0,97.8,613.6,28.9,36.68,21.9,97.7,136.7,0.519,True,simulated
103.0,97.6,615.0,29.4,36.72,22.0,97.5,138.3,0.507,True,simulated
104.0,97.7,614.1,26.6,36.72,21.0,97.7,133.2,0.495,True,simulated
105.0,98.1,611.3,26.5,36.65,21.2,97.4,137.1,0.534,True,simulated
106.0,97.9,612.8,25.8,36.69,21.8,96.6,137.3,0.528,True,simulated
107.0,97.0,618.6,25.6,36.7,21.0,97.3,134.3,0.508,True,simulated
108.0,98.0,612.4,25.2,36.74,22.2,97.4,133.6,0.493,True,simulated
109.0,98.7,608.2,22.5,36.65,21.8,97.3,137.1,0.492,True,simulated
110.0,98.7,607.9,23.4,36.68,21.1,97.3,132.7,0.509,True,simulated
111.0,99.4,603.5,24.0,36.75,21.4,97.0,132.4,0.487,True,simulated
112.0,98.1,611.4,24.7,36.71,21.9,97.7,134.1,0.477,True,simulated
113.0,98.4,609.6,24.6,36.72,21.4,97.6,136.7,0.541,True,simulated
114.0,98.3,610.5,25.2,36.75,22.2,97.9,137.8,0.486,True,simulated
115.0,98.1,611.5,25.1,36.75,22.3,97.7,133.9,0.499,True,simulated
116.0,99.3,604.4,25.1,36.74,22.3,96.9,132.5,0.499,True,simulated
117.0,100.7,595.9,25.9,36.76,21.9,97.2,134.1,0.525,True,simulated
118.0,99.5,603.1,27.7,36.69,22.6,98.0,134.3,0.499,True,simulated
119.0,99.6,602.5,26.9,36.74,21.8,98.6,133.5,0.514,True,simulated
120.0,98.1,611.5,27.0,36.74,21.7,97.8,136.5,0.533,True,simulated
121.0,98.9,606.6,27.0,36.74,21.3,97.2,135.7,0.415,True,simulated
122.0,100.0,600.2,28.9,36.75,21.6,98.3,133.4,0.321,True,simulated
123.0,98.8,607.0,30.2,36.72,21.2,97.9,132.8,0.25,True,simulated
124.0,98.4,609.9,29.6,36.78,20.1,97.9,134.1,0.161,True,simulated
125.0,96.8,619.8,29.2,36.75,20.4,98.2,131.3,0.114,True,simulated
126.0,94.2,636.8,30.9,36.75,18.7,97.8,131.3,0.106,True,simulated
127.0,92.5,648.7,31.0,36.72,17.8,97.3,129.6,0.053,True,simulated
128.0,90.9,660.4,30.9,36.76,18.5,98.2,126.0,0.072,True,simulated
129.0,89.6,669.4,31.1,36.72,17.8,97.5,132.8,0.033,True,simulated
130.0,89.7,669.0,30.2,36.8,17.5,97.7,129.2,0.068,True,simulated
131.0,89.0,674.5,30.5,36.76,16.8,98.0,127.9,0.019,True,simulated
132.0,87.5,685.4,30.6,36.76,17.9,97.4,125.8,0.054,True,simulated
133.0,86.3,695.4,30.6,36.75,16.3,97.8,130.1,0.017,True,simulated
134.0,84.8,707.6,30.5,36.73,15.5,98.5,124.8,0.02,True,simulated
135.0,83.6,717.9,30.9,36.79,14.5,97.5,127.5,0.017,True,simulated
136.0,83.1,722.4,30.4,36.69,15.6,97.7,124.7,0.016,True,simulated
137.0,82.1,730.7,30.1,36.74,15.1,97.5,122.1,0.011,True,simulated
138.0,80.1,748.7,30.1,36.74,14.2,98.4,124.7,0.0,True,simulated
139.0,79.4,755.9,30.1,36.75,13.8,97.5,125.2,0.0,True,simulated
140.0,79.6,753.5,29.6,36.65,13.5,98.0,123.7,0.0,True,simulated
141.0,79.3,756.4,31.9,36.73,13.7,97.3,120.1,0.0,True,simulated
142.0,78.7,762.8,30.6,36.67,14.5,97.8,119.7,0.0,True,simulated
143.0,78.2,766.9,30.4,36.65,13.8,97.6,120.7,0.0,True,simulated
144.0,76.5,783.9,29.7,36.7,12.7,97.5,123.5,0.0,True,simulated
145.0,76.2,787.7,30.4,36.66,13.2,97.8,124.3,0.029,True,simulated
146.0,75.2,797.6,30.3,36.63,14.3,97.2,120.6,0.0,True,simulated
147.0,74.6,804.8,30.9,36.62,14.8,97.9,122.4,0.0,True,simulated
148.0,76.1,788.5,30.2,36.68,13.0,97.3,123.3,0.002,True,simulated
149.0,76.3,786.1,31.7,36.61,12.9,97.8,121.6,0.007,True,simulated
150.0,76.1,788.0,31.9,36.61,13.0,97.2,116.4,0.0,True,simulated
151.0,75.3,796.7,31.7,36.58,13.6,95.8,119.2,0.0,True,simulated
152.0,74.4,806.3,32.4,36.61,13.4,94.6,118.5,0.0,True,simulated
153.0,74.1,809.9,34.2,36.63,14.1,94.0,120.0,0.0,True,simulated
154.0,73.6,814.9,35.5,36.59,14.1,93.0,117.3,0.038,True,simulated
155.0,73.6,815.5,35.1,36.63,13.8,91.8,118.0,0.019,True,simulated
156.0,73.8,813.4,36.1,36.62,15.4,91.1,122.2,0.0,True,simulated
157.0,74.4,806.9,34.5,36.64,15.3,89.4,118.7,0.0,True,simulated
158.0,75.2,798.2,35.2,36.64,14.4,89.3,116.5,0.002,True,simulated
159.0,75.3,797.1,34.9,36.67,14.6,89.4,120.2,0.03,True,simulated
160.0,75.8,791.4,36.6,36.64,14.3,88.2,119.3,0.0,True,simulated
161.0,76.1,788.4,36.7,36.63,14.4,88.4,120.4,0.0,True,simulated
162.0,77.6,773.0,37.5,36.55,15.0,88.0,117.2,0.017,True,simulated
163.0,78.7,762.7,38.1,36.58,15.7,87.6,118.8,0.041,True,simulated
164.0,79.6,753.7,37.3,36.59,16.0,86.9,117.8,0.032,True,simulated
165.0,81.4,737.4,37.1,36.54,15.5,86.3,117.4,0.0,True,simulated
166.0,82.9,724.0,37.0,36.57,16.5,86.1,118.6,0.022,True,simulated
167.0,83.7,717.2,37.3,36.57,16.8,86.9,118.8,0.007,True,simulated
168.0,85.5,701.9,38.1,36.62,17.1,85.1,117.4,0.0,True,simulated
169.0,85.9,698.8,41.8,36.6,17.8,85.6,120.7,0.0,True,simulated
170.0,86.0,697.8,41.5,36.57,17.7,85.1,117.5,0.034,True,simulated
171.0,86.8,690.9,41.3,36.63,17.3,85.9,122.6,0.0,True,simulated
172.0,88.3,679.7,42.3,36.56,17.6,86.1,120.3,0.0,True,simulated
173.0,88.8,675.9,42.0,36.6,17.6,84.9,123.5,0.0,True,simulated
174.0,88.4,679.0,41.4,36.59,17.9,85.4,120.6,0.02,True,simulated
175.0,89.0,674.1,42.3,36.57,18.3,85.4,122.5,0.0,True,simulated
176.0,87.8,683.1,44.3,36.63,19.2,84.8,121.9,0.0,True,simulated
177.0,89.0,674.5,43.9,36.59,19.0,85.2,119.1,0.0,True,simulated
178.0,88.4,678.8,43.9,36.63,18.7,85.6,115.7,0.0,True,simulated
179.0,89.9,667.6,44.1,36.62,19.0,84.7,119.5,0.033,True,simulated
180.0,90.1,666.2,42.0,36.62,18.5,84.9,118.8,0.0,True,simulated
