t,hr,rr,hrv,temp,resp,spo2,bp,activity,leads_ok,source
1.0,70.0,856.9,50.0,36.68,22.24,97.9,,0.006,True,simulated
2.0,,856.9,50.0,36.7,5.8,,120.6,,True,simulated
3.0,,868.2,32.22,36.67,13.7,98.4,,0.0,True,simulated
4.0,69.1,863.1,18.76,36.62,,98.4,119.2,,True,simulated
5.0,70.6,,44.0,36.68,13.6,98.1,,0.036,True,simulated
6.0,,,,21.96,31.24,39.08,72.6,0.02,False,simulated
7.0,,858.6,40.5,36.6,8.28,97.9,,,True,simulated
8.0,69.9,858.6,37.5,36.6,,97.8,121.3,,True,simulated
9.0,,,,,23.52,98.0,264.22,0.009,False,simulated
10.0,,,,,,97.3,273.46,,False,simulated
11.0,,,,,14.3,39.12,,0.0,False,simulated
12.0,69.9,856.2,71.72,36.61,8.52,97.9,121.0,0.011,True,simulated
13.0,69.8,515.58,34.7,36.53,,97.9,121.5,0.016,True,simulated
14.0,69.2,867.1,,36.54,33.0,216.26,119.4,0.0,True,simulated
15.0,68.7,872.8,,,,97.5,122.4,0.0,True,simulated
16.0,,,43.9,,14.0,97.5,122.4,0.0,True,simulated
17.0,155.54,849.1,42.8,36.57,5.72,98.4,123.5,0.007,True,simulated
18.0,,849.1,,80.432,,97.7,189.92,0.0,True,simulated
19.0,71.1,335.8,42.3,,13.6,,,0.0,True,simulated
20.0,71.5,842.2,45.2,,14.0,98.4,74.52,0.0,True,simulated
21.0,,838.2,44.3,36.59,13.2,97.8,,,True,simulated
22.0,,,,36.57,,215.38,199.04,0.032,False,simulated
23.0,113.76,844.3,44.9,,,98.1,48.4,0.026,True,simulated
24.0,70.6,849.4,45.8,,14.7,98.3,,0.004,True,simulated
25.0,,344.2,,36.56,14.2,97.3,122.2,0.026,True,simulated
26.0,41.46,860.5,72.0,,15.2,97.9,,0.026,True,simulated
27.0,70.3,511.86,45.0,21.96,14.8,98.3,125.4,0.005,True,simulated
28.0,70.9,,,36.53,8.82,,122.7,0.019,True,simulated
29.0,71.3,841.4,70.4,36.54,,,121.5,0.0,True,simulated
30.0,,1337.44,44.0,14.632,30.58,58.98,122.5,0.002,True,simulated
31.0,42.48,,,36.58,14.6,98.7,121.1,0.0,True,simulated
32.0,69.7,861.1,45.5,58.496,8.76,98.3,121.1,0.0,True,simulated
33.0,68.9,,,36.51,14.5,,,0.0,True,simulated
34.0,68.6,874.0,29.22,36.57,,98.2,122.1,0.0,True,simulated
35.0,68.6,1905.2,,36.55,23.84,98.6,123.8,0.005,True,simulated
36.0,70.2,341.68,107.36,80.344,23.2,97.9,123.8,,True,simulated
37.0,71.1,843.4,51.1,36.52,14.8,98.4,121.1,0.0,True,simulated
38.0,155.54,848.3,,,14.1,98.6,73.26,0.0,True,simulated
39.0,,1371.2,,36.56,,98.7,122.1,0.0,True,simulated
40.0,,849.1,112.2,36.54,15.0,157.6,120.4,0.0,True,simulated
41.0,,857.9,50.4,,15.0,,117.1,,True,simulated
42.0,,857.9,51.3,,15.2,,,0.0,True,simulated
43.0,27.52,,51.3,36.5,24.0,,,0.0,True,simulated
44.0,68.9,872.3,51.8,36.53,,,71.94,,True,simulated
45.0,150.7,1400.96,51.4,36.57,14.8,,122.4,0.011,True,simulated
46.0,68.5,,20.52,36.53,9.12,98.2,122.9,,True,simulated
47.0,,,,36.53,5.84,,123.2,0.0,False,simulated
48.0,69.2,866.8,51.1,36.55,14.2,98.3,,,True,simulated
49.0,69.0,869.3,,36.52,,,72.72,0.0,True,simulated
50.0,,,,,15.5,98.2,121.2,,False,simulated
51.0,68.4,,49.9,,14.4,98.7,125.2,,True,simulated
52.0,,,,,15.8,97.9,122.4,0.0,False,simulated
53.0,69.0,870.1,,36.51,15.1,39.6,123.0,0.014,True,simulated
54.0,,,22.0,,14.1,98.2,122.3,0.0,True,simulated
55.0,,,,36.49,14.6,98.7,,0.0,True,simulated
56.0,,872.5,88.96,36.49,14.6,,194.08,0.0,True,simulated
57.0,41.1,875.3,,36.5,14.0,98.8,124.7,0.0,True,simulated
58.0,,,53.8,36.44,14.0,,,0.0,True,simulated
59.0,67.3,892.2,53.5,58.4,,98.3,123.0,,True,simulated
60.0,26.88,892.2,53.6,36.49,13.9,98.2,73.32,0.0,True,simulated
61.0,67.0,892.2,86.08,36.54,15.3,98.0,50.56,0.105,True,simulated
62.0,68.0,882.4,,,14.9,97.9,121.4,0.226,True,simulated
63.0,,,50.9,,,98.0,123.5,0.292,True,simulated
64.0,69.6,,50.5,80.388,,,124.1,0.322,True,simulated
65.0,,,,80.344,,,128.2,0.3,False,simulated
66.0,71.5,,,14.608,17.7,155.52,123.4,0.37,True,simulated
67.0,,,76.8,36.57,17.4,,127.6,0.401,True,simulated
68.0,79.1,758.9,48.0,,38.5,,127.6,0.433,True,simulated
69.0,,,,36.52,,214.28,126.4,0.457,False,simulated
70.0,83.7,716.9,47.5,36.55,19.8,,288.64,,True,simulated
71.0,,716.9,45.9,,18.8,96.9,124.6,0.446,True,simulated
72.0,138.72,695.0,,,19.9,97.5,133.5,0.482,True,simulated
73.0,,681.9,45.9,36.51,,,128.8,0.808,True,simulated
74.0,,677.8,,36.52,20.0,96.9,202.56,,True,simulated
75.0,,659.9,38.0,36.54,20.6,96.8,128.2,0.519,True,simulated
76.0,,659.5,38.8,36.54,12.12,97.3,128.2,0.517,True,simulated
77.0,,387.54,35.9,36.58,20.2,,,,True,simulated
78.0,93.9,,36.0,36.54,20.4,,129.7,0.49,True,simulated
