t,hr,rr,hrv,temp,resp,spo2,bp,activity,arrhythmia,hypoxia,sleep,label,lead_off,anomaly,hr_normal,hrv_normal,spo2_normal,resp_normal,hr_residual_true
1.0,70.021,856.891,50.012,36.676,13.922,98.144,119.793,0.0,none,0.0,False,rest,False,0,70.021,50.012,98.144,13.922,0.0
2.0,70.068,856.314,50.034,36.673,13.84,98.115,120.284,0.0,none,0.0,False,rest,False,0,70.068,50.034,98.115,13.84,0.0
3.0,70.165,855.126,50.066,36.664,13.751,98.181,120.345,0.0,none,0.0,False,rest,False,0,70.165,50.066,98.181,13.751,0.0
4.0,70.15,855.309,50.077,36.647,13.873,98.039,121.37,0.0,none,0.0,False,rest,False,0,70.15,50.077,98.039,13.873,0.0
5.0,70.239,854.23,50.07,36.65,13.984,98.025,121.464,0.0,none,0.0,False,rest,False,0,70.239,50.07,98.025,13.984,0.0
6.0,70.336,853.044,50.025,36.64,14.254,97.98,121.07,0.0,none,0.0,False,rest,False,0,70.336,50.025,97.98,14.254,0.0
7.0,70.276,853.773,49.96,36.626,14.419,97.992,121.578,0.0,none,0.0,False,rest,False,0,70.276,49.96,97.992,14.419,0.0
8.0,70.421,852.019,49.899,36.618,14.453,98.044,121.425,0.0,none,0.0,False,rest,False,0,70.421,49.899,98.044,14.453,0.0
9.0,70.608,849.763,49.868,36.594,14.286,98.139,120.648,0.0,none,0.0,False,rest,False,0,70.608,49.868,98.139,14.286,0.0
10.0,70.677,848.929,49.832,36.582,14.353,98.066,120.605,0.0,none,0.0,False,rest,False,0,70.677,49.832,98.066,14.353,0.0
11.0,70.702,848.632,49.816,36.581,14.243,98.004,121.045,0.0,none,0.0,False,rest,False,0,70.702,49.816,98.004,14.243,0.0
12.0,70.844,846.937,49.821,36.575,14.114,98.017,121.751,0.0,none,0.0,False,rest,False,0,70.844,49.821,98.017,14.114,0.0
13.0,70.909,846.154,49.841,36.567,14.006,97.891,121.397,0.0,none,0.0,False,rest,False,0,70.909,49.841,97.891,14.006,0.0
14.0,71.031,844.706,49.805,36.563,14.375,98.042,121.545,0.0,none,0.0,False,rest,False,0,71.031,49.805,98.042,14.375,0.0
15.0,71.166,843.104,49.817,36.562,14.073,97.964,121.982,0.0,none,0.0,False,rest,False,0,71.166,49.817,97.964,14.073,0.0
16.0,71.191,842.799,49.829,36.57,14.066,98.029,121.883,0.0,none,0.0,False,rest,False,0,71.191,49.829,98.029,14.066,0.0
17.0,71.13,843.528,49.852,36.577,13.976,98.134,121.821,0.0,none,0.0,False,rest,False,0,71.13,49.852,98.134,13.976,0.0
18.0,71.237,842.253,49.874,36.568,13.969,98.067,122.057,0.0,none,0.0,False,rest,False,0,71.237,49.874,98.067,13.969,0.0
19.0,71.197,842.737,49.879,36.586,14.069,98.042,121.59,0.0,none,0.0,False,rest,False,0,71.197,49.879,98.042,14.069,0.0
20.0,71.112,843.736,49.894,36.583,13.995,98.063,121.59,0.0,none,0.0,False,rest,False,0,71.112,49.894,98.063,13.995,0.0
21.0,70.964,845.5,49.925,36.562,13.874,98.122,121.478,0.0,none,0.0,False,rest,False,0,70.964,49.925,98.122,13.874,0.0
22.0,70.864,846.694,49.947,36.566,13.909,98.148,120.965,0.0,none,0.0,False,rest,False,0,70.864,49.947,98.148,13.909,0.0
23.0,70.67,849.016,49.964,36.578,13.929,98.21,120.325,0.0,none,0.0,False,rest,False,0,70.67,49.964,98.21,13.929,0.0
24.0,70.482,851.283,49.945,36.575,14.159,98.252,120.693,0.0,none,0.0,False,rest,False,0,70.482,49.945,98.252,14.159,0.0
25.0,70.302,853.458,49.944,36.595,14.05,98.265,120.97,0.0,none,0.0,False,rest,False,0,70.302,49.944,98.265,14.05,0.0
26.0,70.166,855.116,49.956,36.587,13.962,98.366,121.427,0.0,none,0.0,False,rest,False,0,70.166,49.956,98.366,13.962,0.0
27.0,70.026,856.822,49.938,36.588,14.156,98.341,121.479,0.0,none,0.0,False,rest,False,0,70.026,49.938,98.341,14.156,0.0
28.0,69.849,859.0,49.897,36.576,14.332,98.52,122.148,0.0,none,0.0,False,rest,False,0,69.849,49.897,98.52,14.332,0.0
29.0,69.723,860.551,49.849,36.558,14.41,98.601,121.832,0.0,none,0.0,False,rest,False,0,69.723,49.849,98.601,14.41,0.0
30.0,69.72,860.582,49.786,36.565,14.546,98.408,121.589,0.0,none,0.0,False,rest,False,0,69.72,49.786,98.408,14.546,0.0
31.0,69.636,861.626,49.721,36.567,14.616,98.469,121.621,0.0,none,0.0,False,rest,False,0,69.636,49.721,98.469,14.616,0.0
32.0,69.542,862.783,49.648,36.574,14.72,98.367,121.532,0.0,none,0.0,False,rest,False,0,69.542,49.648,98.367,14.72,0.0
33.0,69.57,862.446,49.567,36.567,14.836,98.356,121.139,0.0,none,0.0,False,rest,False,0,69.57,49.567,98.356,14.836,0.0
34.0,69.561,862.549,49.519,36.554,14.668,98.224,120.889,0.0,none,0.0,False,rest,False,0,69.561,49.519,98.224,14.668,0.0
35.0,69.558,862.592,49.446,36.552,14.886,98.279,121.288,0.0,none,0.0,False,rest,False,0,69.558,49.446,98.279,14.886,0.0
36.0,69.484,863.504,49.366,36.525,14.984,98.214,121.685,0.0,none,0.0,False,rest,False,0,69.484,49.366,98.214,14.984,0.0
37.0,69.369,864.939,49.287,36.552,15.044,98.179,121.822,0.0,none,0.0,False,rest,False,0,69.369,49.287,98.179,15.044,0.0
38.0,69.205,866.987,49.262,36.56,14.74,98.303,121.423,0.0,none,0.0,False,rest,False,0,69.205,49.262,98.303,14.74,0.0
39.0,69.138,867.831,49.213,36.56,14.929,98.218,121.146,0.0,none,0.0,False,rest,False,0,69.138,49.213,98.218,14.929,0.0
