t,hr,rr,hrv,temp,resp,spo2,bp,activity,leads_ok,source
1.0,70.1,856.3,50.0,36.69,15.2,97.6,118.6,0.035,True,simulated
2.0,70.0,857.2,49.9,36.64,15.1,98.5,121.7,0.018,True,simulated
3.0,70.6,850.2,43.3,36.74,14.1,98.6,121.3,0.0,True,simulated
4.0,70.0,857.4,61.1,36.64,14.5,98.1,120.5,0.027,True,simulated
5.0,69.8,859.7,57.7,36.68,14.4,97.6,124.0,0.005,True,simulated
6.0,69.6,861.6,55.5,36.69,15.0,97.4,120.6,0.016,True,simulated
7.0,69.8,860.1,58.2,36.65,15.1,97.5,117.7,0.0,True,simulated
8.0,69.7,860.4,54.9,36.66,14.7,97.8,117.6,0.0,True,simulated
9.0,71.5,838.9,52.1,36.68,15.7,98.3,123.2,0.0,True,simulated
10.0,71.8,835.6,49.7,36.67,14.2,97.9,120.3,0.006,True,simulated
11.0,71.8,835.8,50.1,36.75,14.9,97.5,121.5,0.0,True,simulated
12.0,71.4,840.0,48.1,36.67,14.1,98.0,125.8,0.0,True,simulated
13.0,70.8,847.5,49.5,36.69,14.2,97.9,122.9,0.012,True,simulated
14.0,70.2,854.2,48.2,36.65,14.9,97.9,117.5,0.0,True,simulated
15.0,70.2,854.1,47.1,36.7,14.5,98.2,119.8,0.003,True,simulated
16.0,69.4,864.5,46.7,36.7,15.7,98.4,118.3,0.027,True,simulated
17.0,69.2,866.6,45.7,36.66,14.6,97.8,116.3,0.0,True,simulated
18.0,69.7,861.0,44.7,36.71,14.4,97.9,116.9,0.0,True,simulated
19.0,69.7,860.4,43.8,36.73,14.3,98.5,122.8,0.009,True,simulated
20.0,69.9,859.0,43.4,36.67,14.1,98.2,122.5,0.017,True,simulated
21.0,68.9,870.6,44.5,36.71,14.4,98.2,119.5,0.035,True,simulated
22.0,68.7,873.5,44.4,36.72,14.6,98.6,120.7,0.01,True,simulated
23.0,68.6,874.9,43.8,36.71,14.9,99.1,118.4,0.01,True,simulated
24.0,67.8,884.7,43.1,36.69,14.4,98.9,118.7,0.0,True,simulated
25.0,67.6,887.5,42.6,36.73,14.3,98.4,117.2,0.0,True,simulated
26.0,68.4,877.6,42.0,36.76,14.1,98.4,116.5,0.004,True,simulated
27.0,68.9,871.3,41.5,36.74,14.7,98.1,117.4,0.0,True,simulated
28.0,69.2,867.6,39.8,36.74,14.4,98.6,115.7,0.0,True,simulated
29.0,68.2,879.5,40.2,36.7,13.8,98.4,118.9,0.0,True,simulated
30.0,67.4,890.1,39.7,36.71,13.3,98.9,119.2,0.014,True,simulated
31.0,66.7,899.9,39.2,36.73,14.0,98.0,118.4,0.055,True,simulated
32.0,67.0,894.9,39.4,36.71,13.9,98.4,116.6,0.015,True,simulated
33.0,66.1,907.5,42.5,36.75,14.5,97.9,119.0,0.0,True,simulated
34.0,66.4,903.3,41.7,36.77,14.9,98.3,117.1,0.012,True,simulated
35.0,66.6,900.4,41.5,36.76,14.6,98.6,118.1,0.002,True,simulated
36.0,66.9,896.3,42.0,36.71,14.8,98.0,118.7,0.0,True,simulated
37.0,65.6,914.8,41.4,36.76,15.0,97.6,117.2,0.009,True,simulated
38.0,65.7,913.4,39.6,36.71,14.9,98.8,114.9,0.0,True,simulated
39.0,65.9,911.1,39.6,36.69,15.3,98.9,115.5,0.007,True,simulated
40.0,66.1,907.4,39.5,36.74,14.8,98.5,114.0,0.0,True,simulated
41.0,66.3,904.7,39.3,36.76,14.4,98.4,111.9,0.0,True,simulated
